Real,Real,AM,ML
500000.0,500000.0,500000.0, 455798.0392801593
8291.0,8291.0,7369.6102921133415, 7574.5654795513465
2772.0,2772.0,2666.6666666666665, -110.64105616138404
2706.0,2706.0,2673.913043478261, 1083.0926810333665
3190.0,3190.0,2681.818181818182, 2276.8264182281314
3581.0,3581.0,2690.4761904761904, 3470.560155422882
4110.0,4110.0,2700.0, 4664.293892617633
4850.0,4850.0,2710.5263157894738, 5858.027629812384
5224.0,5224.0,2722.222222222222, 7051.761367007134
6182.0,6182.0,2735.294117647059, 8245.495104201898
7259.0,7259.0,2750.0, 2602.481374841726
15826.0,15826.0,2766.6666666666665, 16377.981323217118
7905.0,7905.0,6893.629901012081, 7483.13819155858
28881.0,28881.0,2807.6923076923076, 43928.98121996802
69609.0,69609.0,2833.3333333333335, 57704.48116834344
120504.0,120504.0,2863.6363636363635, 73712.78418937032
500000.0,500000.0,2900.0, 461866.96312419703
500000.0,500000.0,2944.4444444444443, 463064.89902624086
500000.0,500000.0,3000.0, 464262.8349282847
500000.0,500000.0,3071.4285714285716, 465460.7708303287
500000.0,500000.0,3166.6666666666665, 466658.7067323726
500000.0,500000.0,3300.0, 467856.6426344164
500000.0,500000.0,3500.0, 469054.5785364604
7318.0,7318.0,6544.45601830323, 7391.710903565813
500000.0,500000.0,4500.0, 471450.4503405481
500000.0,500000.0,500000.0, 473846.322144636
500000.0,500000.0,500.0, 476242.1939487237
500000.0,500000.0,1500.0, 478638.06575281156
500000.0,500000.0,1833.3333333333335, 481033.9375568994
500000.0,500000.0,2000.0, 484098.8775816392
500000.0,500000.0,2100.0, 492022.78283146134
500000.0,500000.0,2166.6666666666665, 499946.6880812834
500000.0,500000.0,2214.285714285714, 507870.59333110537
500000.0,500000.0,2250.0, 515794.49858092744
6912.0,6912.0,6280.251841901448, 7300.2836155730465
500000.0,500000.0,2277.777777777778, 461648.940637472
500000.0,500000.0,2300.0, 493361.88904094376
500000.0,500000.0,500000.0, 484106.35350769083
500000.0,500000.0,500000.0, 482459.59971555846
500000.0,500000.0,500000.0, 477519.3383391611
500000.0,500000.0,500000.0, 469285.56937849906
117717.0,117717.0,117504.34921416253, 167446.2153216771
61519.0,61519.0,61193.60086633305, 166761.46744984508
31962.0,31962.0,27446.326616333135, 99424.74142935232
18707.0,18707.0,16266.69449629108, 30172.095588196655
6466.0,6466.0,6075.948231986622, 7208.856327580294
15244.0,15244.0,14058.790252151326, 10516.241821936941
13871.0,13871.0,12603.566807683332, 10424.814533944174
12741.0,12741.0,11579.251566025165, 10333.387245951408
11253.0,11253.0,10825.011997402913, 10241.959957958641
10371.0,10371.0,10251.549140623158, 10150.532669965889
9769.0,9769.0,9805.335501938294, 10059.105381973122
9379.0,9379.0,9452.360071697116, 10242.848129407974
9054.0,9054.0,9170.00137531263, 10151.420841415207
8640.0,8640.0,8942.651998667287, 10059.99355342244
8426.0,8426.0,8759.218931282183, 9968.566265429674
6058.0,6058.0,5915.625286291909, 7392.599075015146
8223.0,8223.0,8611.624434051279, 9877.138977436907
8043.0,8043.0,8493.86979988006, 9785.711689444155
7862.0,7862.0,8401.43033685516, 9694.284401451388
7799.0,7799.0,8330.852887618705, 9602.857113458622
7986.0,7986.0,8279.481404755177, 9511.429825465855
7963.0,7963.0,8245.26592011717, 9420.002537473089
7871.0,7871.0,8226.627290607874, 9328.575249480322
7865.0,7865.0,8222.360181559614, 9237.147961487555
8027.0,8027.0,8231.562891926054, 9145.720673494803
8231.0,8231.0,8253.586475026754, 9054.293385502036
6038.0,6038.0,5788.703521861049, 7301.171787022379
8813.0,8813.0,8287.998084708137, 8962.86609750927
8811.0,8811.0,8334.555111219783, 8871.438809516503
9026.0,9026.0,8393.187780035387, 8780.011521523737
9034.0,9034.0,8463.988663701777, 8688.58423353097
9404.0,9404.0,8643.255134937852, 8505.729657545451
10664.0,10664.0,8876.302264203363, 8047.705046132299
11539.0,11539.0,9169.94066855895, 7864.850470146765
12942.0,12942.0,9534.516675593102, 22990.329947062597
15136.0,15136.0,9985.117986311332, 26588.818472971554
16353.0,16353.0,10543.611749063224, 30187.30699888052
5896.0,5896.0,5687.8933943101765, 7209.744499029613
21462.0,21462.0,11242.103192419141, 33785.79552478946
23752.0,23752.0,12128.995547705987, 10268.104271093678
32461.0,32461.0,13280.157391311792, 15738.728640857607
80216.0,80216.0,14820.948365025066, 127034.5092580496
500000.0,500000.0,16973.714793951964, 460682.34759217134
500000.0,500000.0,20173.226594252188, 492395.2959956431
342631.0,342631.0,402739.92798320117, 165406.98341053922
245650.0,245650.0,202739.95197119802, 165407.37083550135
119088.0,119088.0,82740.0239639772, 165408.5331103878
56585.0,56585.0,42740.144047990376, 109596.57627352509
5918.0,5918.0,5608.0240492241965, 7118.317211036846
7093.0,7093.0,6742.326293631138, -38876.86275869897
4206.0,4206.0,4744.7980016489655, -38399.36926382107
2515.0,2515.0,3552.525209995579, -4744.838010831764
2245.0,2245.0,3166.5481534154037, -2357.3705364422635
2136.0,2136.0,3094.1603336952176, -1163.6367992475127
2316.0,2316.0,3048.886745249355, 30.09693794723789
2324.0,2324.0,3019.339484615158, 1223.830675142003
2378.0,2378.0,2999.8500149985002, 2417.5644123367533
2565.0,2565.0,2987.295382185008, 3611.298149531504
2671.0,2671.0,2979.829356085855, 4805.031886726255
5747.0,5747.0,5545.341067725627, 7026.889923044079
2851.0,2851.0,2976.30641620519, 5998.7656239210055
2980.0,2980.0,2975.9945914033788, 7192.499361115771
3250.0,3250.0,2978.4218196153674, 8386.23309831052
3520.0,3520.0,2983.2893135104964, 9579.96683550527
3626.0,3626.0,2990.4209656349144, 10773.700572700021
4004.0,4004.0,2999.7334044254862, 1776.0306572903544
4170.0,4170.0,3011.2186780583543, 5611.894231351534
4553.0,4553.0,3024.9352737084023, 9447.75780541274
4888.0,4888.0,3041.005210144499, 13283.62137947392
5219.0,5219.0,3059.6161535385845, 17119.484953535113
500000.0,500000.0,500000.0, 454151.2854880268
5868.0,5868.0,5497.06810003998, 6935.462635051327
5202.0,5202.0,3081.028337346597, 20955.348527596307
5812.0,5812.0,3105.586763642825, 24791.212101657486
7105.0,7105.0,3133.7398993281386, 28627.075675718694
7629.0,7629.0,3166.067026450796, 32462.939249779873
8658.0,8658.0,3203.3177881412394, 36298.80282384106
9208.0,9208.0,3246.4696555086553, 40134.666397902256
11514.0,11514.0,3296.812676420387, 43970.52997196345
11447.0,11447.0,3356.0771851034274, 47806.39354602464
13311.0,13311.0,3511.7991743241446, 55478.120694147015
21702.0,21702.0,3747.6038338658145, 165884.02689214871
5733.0,5733.0,5461.123816183939, 6844.03534705856
32032.0,32032.0,4142.801806102249, 172081.2938403416
70102.0,70102.0,4934.878880474736, 178278.5607885344
274149.0,274149.0,7303.994901903442, 184475.82773672725
500000.0,500000.0,500000.0, 467977.5001391803
500000.0,500000.0,500000.0, 476901.3344585166
500000.0,500000.0,126.72120968625723, 485825.1687778531
500000.0,500000.0,930.5028173354808, 494749.0030971896
500000.0,500000.0,1330.927559476076, 503672.83741652593
