Real,Real,Pred
500000.0,500000.0,500000.0
8291.0,8291.0,7369.6102921133415
2772.0,2772.0,2666.6666666666665
2706.0,2706.0,2673.913043478261
3190.0,3190.0,2681.818181818182
3581.0,3581.0,2690.4761904761904
4110.0,4110.0,2700.0
4850.0,4850.0,2710.5263157894738
5224.0,5224.0,2722.222222222222
6182.0,6182.0,2735.294117647059
7259.0,7259.0,2750.0
15826.0,15826.0,2766.6666666666665
7905.0,7905.0,6893.629901012081
28881.0,28881.0,2807.6923076923076
69609.0,69609.0,2833.3333333333335
120504.0,120504.0,2863.6363636363635
500000.0,500000.0,2900.0
500000.0,500000.0,2944.4444444444443
500000.0,500000.0,3000.0
500000.0,500000.0,3071.4285714285716
500000.0,500000.0,3166.6666666666665
500000.0,500000.0,3300.0
500000.0,500000.0,3500.0
7318.0,7318.0,6544.45601830323
500000.0,500000.0,4500.0
500000.0,500000.0,500000.0
500000.0,500000.0,500.0
500000.0,500000.0,1500.0
500000.0,500000.0,1833.3333333333335
500000.0,500000.0,2000.0
500000.0,500000.0,2100.0
500000.0,500000.0,2166.6666666666665
500000.0,500000.0,2214.285714285714
500000.0,500000.0,2250.0
6912.0,6912.0,6280.251841901448
500000.0,500000.0,2277.777777777778
500000.0,500000.0,2300.0
500000.0,500000.0,500000.0
500000.0,500000.0,500000.0
500000.0,500000.0,500000.0
500000.0,500000.0,500000.0
117717.0,117717.0,117504.34921416253
61519.0,61519.0,61193.60086633305
31962.0,31962.0,27446.326616333135
18707.0,18707.0,16266.69449629108
6466.0,6466.0,6075.948231986622
15244.0,15244.0,14058.790252151326
13871.0,13871.0,12603.566807683332
12741.0,12741.0,11579.251566025165
11253.0,11253.0,10825.011997402913
10371.0,10371.0,10251.549140623158
9769.0,9769.0,9805.335501938294
9379.0,9379.0,9452.360071697116
9054.0,9054.0,9170.00137531263
8640.0,8640.0,8942.651998667287
8426.0,8426.0,8759.218931282183
6058.0,6058.0,5915.625286291909
8223.0,8223.0,8611.624434051279
8043.0,8043.0,8493.86979988006
7862.0,7862.0,8401.43033685516
7799.0,7799.0,8330.852887618705
7986.0,7986.0,8279.481404755177
7963.0,7963.0,8245.26592011717
7871.0,7871.0,8226.627290607874
7865.0,7865.0,8222.360181559614
8027.0,8027.0,8231.562891926054
8231.0,8231.0,8253.586475026754
6038.0,6038.0,5788.703521861049
8813.0,8813.0,8287.998084708137
8811.0,8811.0,8334.555111219783
9026.0,9026.0,8393.187780035387
9034.0,9034.0,8463.988663701777
9404.0,9404.0,8643.255134937852
10664.0,10664.0,8876.302264203363
11539.0,11539.0,9169.94066855895
12942.0,12942.0,9534.516675593102
15136.0,15136.0,9985.117986311332
16353.0,16353.0,10543.611749063224
5896.0,5896.0,5687.8933943101765
21462.0,21462.0,11242.103192419141
23752.0,23752.0,12128.995547705987
32461.0,32461.0,13280.157391311792
80216.0,80216.0,14820.948365025066
500000.0,500000.0,16973.714793951964
500000.0,500000.0,20173.226594252188
342631.0,342631.0,402739.92798320117
245650.0,245650.0,202739.95197119802
119088.0,119088.0,82740.0239639772
56585.0,56585.0,42740.144047990376
5918.0,5918.0,5608.0240492241965
7093.0,7093.0,6742.326293631138
4206.0,4206.0,4744.7980016489655
2515.0,2515.0,3552.525209995579
2245.0,2245.0,3166.5481534154037
2136.0,2136.0,3094.1603336952176
2316.0,2316.0,3048.886745249355
2324.0,2324.0,3019.339484615158
2378.0,2378.0,2999.8500149985002
2565.0,2565.0,2987.295382185008
2671.0,2671.0,2979.829356085855
5747.0,5747.0,5545.341067725627
2851.0,2851.0,2976.30641620519
2980.0,2980.0,2975.9945914033788
3250.0,3250.0,2978.4218196153674
3520.0,3520.0,2983.2893135104964
3626.0,3626.0,2990.4209656349144
4004.0,4004.0,2999.7334044254862
4170.0,4170.0,3011.2186780583543
4553.0,4553.0,3024.9352737084023
4888.0,4888.0,3041.005210144499
5219.0,5219.0,3059.6161535385845
500000.0,500000.0,500000.0
5868.0,5868.0,5497.06810003998
5202.0,5202.0,3081.028337346597
5812.0,5812.0,3105.586763642825
7105.0,7105.0,3133.7398993281386
7629.0,7629.0,3166.067026450796
8658.0,8658.0,3203.3177881412394
9208.0,9208.0,3246.4696555086553
11514.0,11514.0,3296.812676420387
11447.0,11447.0,3356.0771851034274
13311.0,13311.0,3511.7991743241446
21702.0,21702.0,3747.6038338658145
5733.0,5733.0,5461.123816183939
32032.0,32032.0,4142.801806102249
70102.0,70102.0,4934.878880474736
274149.0,274149.0,7303.994901903442
500000.0,500000.0,500000.0
500000.0,500000.0,-2300.6300543613897
500000.0,500000.0,126.72120968625723
500000.0,500000.0,930.5028173354808
500000.0,500000.0,1330.927559476076
